data;imieniny
1;Seweryna, Wiktoryny	
2;Bohdana, Bożydara	
3;Sylwii, Huberta
4;Karola, Olgierda	
5;Sławomira, Elżbiety	
6;Feliksa, Leonarda	
7;Antoniego, Ernesta	
8;Sewera, Gotfryda	
9;Ursyna, Teodora	
10;Andrzeja, Ludomira
11;Bartłomieja, Marcina	
12;Renaty, Witolda	
13;Stanisława, Mikołaja	
14;Serafina, Rogera	
15;Alberta, Leopolda	
16;Gertrudy, Edmunda	
17;Grzegorza, Salomei
18;Anieli, Romana	
19;Elżbiety, Seweryna	
20;Feliksa, Anatola	
21;Janusza, Konrada	
22;Marka, Cecylii	
23;Klemensa, Amelii	
24;Jana, Flory
25;Erazma, Katarzyny	
26;Konrada, Sylwestra	
27;Waleriana, Maksymiliana	
28;Grzegorza, Zdzisława	
29;Błażeja, Saturnina	
30;Andrzeja, Konstantego
